2026-07-03 20:26:05,663 INFO hgb_001 mean=0.809041 std=0.005637 params={'learning_rate': 0.04, 'max_iter': 200, 'max_leaf_nodes': 15, 'l2_regularization': 0.0, 'min_samples_leaf': 20}
2026-07-03 20:26:08,331 INFO hgb_002 mean=0.809731 std=0.005893 params={'learning_rate': 0.04, 'max_iter': 200, 'max_leaf_nodes': 15, 'l2_regularization': 0.01, 'min_samples_leaf': 20}
2026-07-03 20:26:10,679 INFO hgb_003 mean=0.811226 std=0.007697 params={'learning_rate': 0.04, 'max_iter': 200, 'max_leaf_nodes': 15, 'l2_regularization': 0.05, 'min_samples_leaf': 20}
2026-07-03 20:26:15,313 INFO hgb_004 mean=0.812261 std=0.012176 params={'learning_rate': 0.04, 'max_iter': 200, 'max_leaf_nodes': 31, 'l2_regularization': 0.0, 'min_samples_leaf': 20}
2026-07-03 20:26:19,742 INFO hgb_005 mean=0.809041 std=0.007886 params={'learning_rate': 0.04, 'max_iter': 200, 'max_leaf_nodes': 31, 'l2_regularization': 0.01, 'min_samples_leaf': 20}
2026-07-03 20:26:24,165 INFO hgb_006 mean=0.811342 std=0.007427 params={'learning_rate': 0.04, 'max_iter': 200, 'max_leaf_nodes': 31, 'l2_regularization': 0.05, 'min_samples_leaf': 20}
2026-07-03 20:26:27,735 INFO hgb_007 mean=0.808581 std=0.005017 params={'learning_rate': 0.04, 'max_iter': 300, 'max_leaf_nodes': 15, 'l2_regularization': 0.0, 'min_samples_leaf': 20}
2026-07-03 20:26:31,642 INFO hgb_008 mean=0.807776 std=0.005349 params={'learning_rate': 0.04, 'max_iter': 300, 'max_leaf_nodes': 15, 'l2_regularization': 0.01, 'min_samples_leaf': 20}
2026-07-03 20:26:35,041 INFO hgb_009 mean=0.809731 std=0.006253 params={'learning_rate': 0.04, 'max_iter': 300, 'max_leaf_nodes': 15, 'l2_regularization': 0.05, 'min_samples_leaf': 20}
2026-07-03 20:26:39,883 INFO hgb_010 mean=0.810996 std=0.010681 params={'learning_rate': 0.04, 'max_iter': 300, 'max_leaf_nodes': 31, 'l2_regularization': 0.0, 'min_samples_leaf': 20}
2026-07-03 20:26:44,923 INFO hgb_011 mean=0.808466 std=0.009098 params={'learning_rate': 0.04, 'max_iter': 300, 'max_leaf_nodes': 31, 'l2_regularization': 0.01, 'min_samples_leaf': 20}
2026-07-03 20:26:49,813 INFO hgb_012 mean=0.808350 std=0.007867 params={'learning_rate': 0.04, 'max_iter': 300, 'max_leaf_nodes': 31, 'l2_regularization': 0.05, 'min_samples_leaf': 20}
2026-07-03 20:26:51,672 INFO hgb_013 mean=0.807660 std=0.007357 params={'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 15, 'l2_regularization': 0.0, 'min_samples_leaf': 20}
2026-07-03 20:26:53,576 INFO hgb_014 mean=0.808121 std=0.006232 params={'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 15, 'l2_regularization': 0.01, 'min_samples_leaf': 20}
2026-07-03 20:26:55,576 INFO hgb_015 mean=0.809501 std=0.005908 params={'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 15, 'l2_regularization': 0.05, 'min_samples_leaf': 20}
2026-07-03 20:26:58,888 INFO hgb_016 mean=0.809155 std=0.008224 params={'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 31, 'l2_regularization': 0.0, 'min_samples_leaf': 20}
2026-07-03 20:27:02,326 INFO hgb_017 mean=0.809040 std=0.008568 params={'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 31, 'l2_regularization': 0.01, 'min_samples_leaf': 20}
2026-07-03 20:27:05,874 INFO hgb_018 mean=0.806395 std=0.006170 params={'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 31, 'l2_regularization': 0.05, 'min_samples_leaf': 20}
2026-07-03 20:27:08,630 INFO hgb_019 mean=0.807316 std=0.004213 params={'learning_rate': 0.05, 'max_iter': 300, 'max_leaf_nodes': 15, 'l2_regularization': 0.0, 'min_samples_leaf': 20}
2026-07-03 20:27:11,381 INFO hgb_020 mean=0.806626 std=0.004810 params={'learning_rate': 0.05, 'max_iter': 300, 'max_leaf_nodes': 15, 'l2_regularization': 0.01, 'min_samples_leaf': 20}
2026-07-03 20:27:14,154 INFO hgb_021 mean=0.808006 std=0.004610 params={'learning_rate': 0.05, 'max_iter': 300, 'max_leaf_nodes': 15, 'l2_regularization': 0.05, 'min_samples_leaf': 20}
2026-07-03 20:27:19,129 INFO hgb_022 mean=0.806509 std=0.008257 params={'learning_rate': 0.05, 'max_iter': 300, 'max_leaf_nodes': 31, 'l2_regularization': 0.0, 'min_samples_leaf': 20}
2026-07-03 20:27:23,930 INFO hgb_023 mean=0.806969 std=0.009820 params={'learning_rate': 0.05, 'max_iter': 300, 'max_leaf_nodes': 31, 'l2_regularization': 0.01, 'min_samples_leaf': 20}
2026-07-03 20:27:29,878 INFO hgb_024 mean=0.804324 std=0.007703 params={'learning_rate': 0.05, 'max_iter': 300, 'max_leaf_nodes': 31, 'l2_regularization': 0.05, 'min_samples_leaf': 20}
2026-07-03 20:27:32,091 INFO hgb_025 mean=0.809732 std=0.005635 params={'learning_rate': 0.06, 'max_iter': 200, 'max_leaf_nodes': 15, 'l2_regularization': 0.0, 'min_samples_leaf': 20}
2026-07-03 20:27:34,024 INFO hgb_026 mean=0.807661 std=0.005559 params={'learning_rate': 0.06, 'max_iter': 200, 'max_leaf_nodes': 15, 'l2_regularization': 0.01, 'min_samples_leaf': 20}
2026-07-03 20:27:36,139 INFO hgb_027 mean=0.809501 std=0.005703 params={'learning_rate': 0.06, 'max_iter': 200, 'max_leaf_nodes': 15, 'l2_regularization': 0.05, 'min_samples_leaf': 20}
2026-07-03 20:27:39,533 INFO hgb_028 mean=0.809385 std=0.009131 params={'learning_rate': 0.06, 'max_iter': 200, 'max_leaf_nodes': 31, 'l2_regularization': 0.0, 'min_samples_leaf': 20}
2026-07-03 20:27:43,384 INFO hgb_029 mean=0.808926 std=0.007800 params={'learning_rate': 0.06, 'max_iter': 200, 'max_leaf_nodes': 31, 'l2_regularization': 0.01, 'min_samples_leaf': 20}
2026-07-03 20:27:47,018 INFO hgb_030 mean=0.808925 std=0.008737 params={'learning_rate': 0.06, 'max_iter': 200, 'max_leaf_nodes': 31, 'l2_regularization': 0.05, 'min_samples_leaf': 20}
2026-07-03 20:27:49,781 INFO hgb_031 mean=0.809156 std=0.007763 params={'learning_rate': 0.06, 'max_iter': 300, 'max_leaf_nodes': 15, 'l2_regularization': 0.0, 'min_samples_leaf': 20}
2026-07-03 20:27:52,416 INFO hgb_032 mean=0.808351 std=0.004870 params={'learning_rate': 0.06, 'max_iter': 300, 'max_leaf_nodes': 15, 'l2_regularization': 0.01, 'min_samples_leaf': 20}
2026-07-03 20:27:55,367 INFO hgb_033 mean=0.811112 std=0.004827 params={'learning_rate': 0.06, 'max_iter': 300, 'max_leaf_nodes': 15, 'l2_regularization': 0.05, 'min_samples_leaf': 20}
2026-07-03 20:28:00,539 INFO hgb_034 mean=0.807545 std=0.009098 params={'learning_rate': 0.06, 'max_iter': 300, 'max_leaf_nodes': 31, 'l2_regularization': 0.0, 'min_samples_leaf': 20}
2026-07-03 20:28:05,669 INFO hgb_035 mean=0.805704 std=0.011035 params={'learning_rate': 0.06, 'max_iter': 300, 'max_leaf_nodes': 31, 'l2_regularization': 0.01, 'min_samples_leaf': 20}
2026-07-03 20:28:10,667 INFO hgb_036 mean=0.807544 std=0.009583 params={'learning_rate': 0.06, 'max_iter': 300, 'max_leaf_nodes': 31, 'l2_regularization': 0.05, 'min_samples_leaf': 20}
2026-07-03 20:28:11,408 INFO Selected hgb_004 mean=0.812261
2026-07-03 20:28:11,408 INFO Wrote /Users/hiroki-iida/works/Try-AI-Scientist/projects/kaggle-spaceship-titanic/experiments/exp-008/workspace/submission.csv
